qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,engine_type,mode,json_reference,model_url,has_hotspots,wordbank,question_score,full_json_content,filename,folder
01-004_3_Q1,T1,Math Concepts,Quest 1-005: Number Sets (Part 3),E,Simulation,,1,Set of Multiples of 5.,,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-004_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Math Concepts"",   ""variantTitle"": ""Quest 1-005: Number Sets (Part 3)"",   ""questions"": [     {       ""scene"": ""rain"",       ""expected"": ""infinite"",       ""prompt"": ""Set of <b>Multiples of 5</b>.""     }   ] } ",01-004_3.json,quest_01_finite_infinite_sets
01-005_2_Q1,T1,Social Sets,Quest 1-006: My Class (Part 2),E,Simulation,,1,Set of Districts in Uganda.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-005_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Social Sets"",   ""variantTitle"": ""Quest 1-006: My Class (Part 2)"",   ""questions"": [     {       ""scene"": ""default"",        ""expected"": ""finite"",       ""prompt"": ""Set of <b>Districts in Uganda</b>.""     }   ] } ",01-005_2.json,quest_01_finite_infinite_sets
01-005_3_Q1,T1,Social Sets,Quest 1-006: My Class (Part 3),E,Simulation,,1,Set of Whole Numbers.,,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-005_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Social Sets"",   ""variantTitle"": ""Quest 1-006: My Class (Part 3)"",   ""questions"": [     {       ""scene"": ""rain"",       ""expected"": ""infinite"",       ""prompt"": ""Set of <b>Whole Numbers</b>.""     }   ] } ",01-005_3.json,quest_01_finite_infinite_sets
01-006_2_Q1,T1,Infinite Sets,Quest 1-007: Infinite Visuals (Part 2),E,Simulation,,1,"Scene: Matrix RainSet of All Even Numbers {2, 4, 6...}.",,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-006_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Infinite Sets"",   ""variantTitle"": ""Quest 1-007: Infinite Visuals (Part 2)"",   ""questions"": [     {       ""scene"": ""rain"",       ""expected"": ""infinite"",       ""prompt"": ""<b>Scene: Matrix Rain</b><br>Set of All Even Numbers {2, 4, 6...}.""     }   ] } ",01-006_2.json,quest_01_finite_infinite_sets
01-006_3_Q1,T1,Infinite Sets,Quest 1-007: Infinite Visuals (Part 3),E,Simulation,,1,"Scene: Matrix RainSet of Integers {..., -1, 0, 1, ...}.",,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-006_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Infinite Sets"",   ""variantTitle"": ""Quest 1-007: Infinite Visuals (Part 3)"",   ""questions"": [     {       ""scene"": ""integers"",       ""expected"": ""infinite"",       ""prompt"": ""<b>Scene: Matrix Rain</b><br>Set of Integers {..., -1, 0, 1, ...}.""     }   ] } ",01-006_3.json,quest_01_finite_infinite_sets
01-007_2_Q1,T1,Nature Sets,Quest 1-008: Nature Visuals (Part 2),E,Simulation,,1,Scene: Swimming FishSet of Fish in a tank.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-007_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-008: Nature Visuals (Part 2)"",   ""questions"": [     {       ""scene"": ""fish"",       ""expected"": ""finite"",       ""prompt"": ""<b>Scene: Swimming Fish</b><br>Set of Fish in a tank.""     }   ] } ",01-007_2.json,quest_01_finite_infinite_sets
01-007_3_Q1,T1,Nature Sets,Quest 1-008: Nature Visuals (Part 3),E,Simulation,,1,Scene: Grazing CowsSet of Cattle on a farm.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-007_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-008: Nature Visuals (Part 3)"",   ""questions"": [     {       ""scene"": ""cows"",       ""expected"": ""finite"",       ""prompt"": ""<b>Scene: Grazing Cows</b><br>Set of Cattle on a farm.""     }   ] } ",01-007_3.json,quest_01_finite_infinite_sets
01-007_4_Q1,T1,Nature Sets,Quest 1-008: Nature Visuals (Part 4),E,Simulation,,1,Scene: Sand GrainsSet of Sand Grains on a beach (Too many to count!).,,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-007_4.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-008: Nature Visuals (Part 4)"",   ""questions"": [     {       ""scene"": ""sand"",       ""expected"": ""infinite"",       ""prompt"": ""<b>Scene: Sand Grains</b><br>Set of Sand Grains on a beach (Too many to count!).""     }   ] } ",01-007_4.json,quest_01_finite_infinite_sets
01-007_5_Q1,T1,Nature Sets,Quest 1-008: Nature Visuals (Part 5),E,Simulation,,1,Scene: Map PinsSet of Districts in Uganda.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-007_5.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-008: Nature Visuals (Part 5)"",   ""questions"": [     {       ""scene"": ""default"",       ""expected"": ""finite"",       ""prompt"": ""<b>Scene: Map Pins</b><br>Set of Districts in Uganda.""     }   ] } ",01-007_5.json,quest_01_finite_infinite_sets
01-008_2_Q1,T1,Social Sets,Quest 1-009: Class Visuals (Part 2),E,Simulation,,1,"Scene: Bouncing LettersSet of Vowels {A, E, I, O, U}.",,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-008_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Social Sets"",   ""variantTitle"": ""Quest 1-009: Class Visuals (Part 2)"",   ""questions"": [     {       ""scene"": ""vowels"",       ""expected"": ""finite"",       ""prompt"": ""<b>Scene: Bouncing Letters</b><br>Set of Vowels {A, E, I, O, U}.""     }   ] } ",01-008_2.json,quest_01_finite_infinite_sets
study_finite_infinite_S1,T1,Types of Sets,Finite vs Infinite,E,Read,,1,What is a Set?: A Set is just a collection of distinct objects. Imagine a basket. Anything we put inside that basket is a 'member' of the set.,,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
study_finite_infinite_S2,T1,Types of Sets,Finite vs Infinite,E,Read,,2,"1. Finite Sets: A Finite Set has a specific number of members. You can count them, and the counting comes to an end.Example: Vowels = {a, e, i, o, u}",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
study_finite_infinite_S3,T1,Types of Sets,Finite vs Infinite,E,Read,,3,"Cardinal Number: Because a Finite set ends, we can find its Cardinal Number, n(A).This is just the total count of members.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
study_finite_infinite_S4,T1,Types of Sets,Finite vs Infinite,E,Read,,4,"2. Infinite Sets: An Infinite Set has no end. It goes on forever!Imagine counting numbers: 1, 2, 3, 4... You could never finish.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
study_finite_infinite_S5,T1,Types of Sets,Finite vs Infinite,E,Read,,5,"The Ellipsis (...): Since we can't write all the numbers, we use three dots called an Ellipsis.{ 1, 2, 3, ... }This symbol means 'and so on forever'.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
study_finite_infinite_S6,T1,Types of Sets,Finite vs Infinite,E,Read,,6,Summary: Finite: Ends. Can be counted.Infinite: Never ends. Uses '...',,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_01_finite_infinite_sets/study_finite_infinite.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Types of Sets"",   ""variantTitle"": ""Finite vs Infinite"",   ""slides"": [     {       ""title"": ""What is a Set?"",       ""text"": ""A <b>Set</b> is just a collection of distinct objects. <br><br>Imagine a basket. Anything we put inside that basket is a 'member' of the set."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""🍎"", ""🍌"", ""🍇""]     },     {       ""title"": ""1. Finite Sets"",       ""text"": ""A <b>Finite Set</b> has a specific number of members. You can count them, and the counting <b>comes to an end</b>.<br><br>Example: Vowels = {a, e, i, o, u}"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""]     },     {       ""title"": ""Cardinal Number"",       ""text"": ""Because a Finite set ends, we can find its <b>Cardinal Number</b>, <span class='sym'>n(A)</span>.<br><br>This is just the total count of members."",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""a"", ""e"", ""i"", ""o"", ""u""],       ""showCount"": true     },     {       ""title"": ""2. Infinite Sets"",       ""text"": ""An <b>Infinite Set</b> has no end. It goes on forever!<br><br>Imagine counting numbers: 1, 2, 3, 4... You could never finish."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""The Ellipsis (...)"",       ""text"": ""Since we can't write all the numbers, we use three dots called an <b>Ellipsis</b>.<br><br><center><span class='sym'>{ 1, 2, 3, ... }</span></center><br>This symbol means 'and so on forever'."",       ""visualType"": ""INFINITE_ROAD"",       ""visualData"": """"     },     {       ""title"": ""Summary"",       ""text"": ""<ul><li><b>Finite:</b> Ends. Can be counted.</li><li><b>Infinite:</b> Never ends. Uses '...'</li></ul>"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""Done!""]     }   ] }",study_finite_infinite.json,quest_01_finite_infinite_sets
