Type,Engine,Topic,Subtopic,Question_Text,Expected_Answer
Read,MATH_STUDY,Set Operations,Universal Set & Operations,"1. The Universal Set (ξ): Imagine a big box that contains everything we are talking about. This is the Universal Set, marked with the symbol ξ.Here, ξ = {1, 2, 3, 4, 5, 6, 7, 8}",
Read,MATH_STUDY,Set Operations,Universal Set & Operations,"2. Intersection (∩): The Intersection is where the two circles overlap. These are numbers that are in Set A AND Set B.A ∩ B = { 3, 4 }",
Read,MATH_STUDY,Set Operations,Universal Set & Operations,"3. Union (∪): The Union brings everyone together! It includes Set A, Set B, and the middle.It is the marriage of the two sets.A ∪ B = { 1, 2, 3, 4, 5, 6 }",
Read,MATH_STUDY,Set Operations,Universal Set & Operations,"4. Difference (A - B): Set Difference means 'A Only'. We start with Set A, but we remove anything that touches B.A - B = { 1, 2 }(Notice 3 and 4 are gone because they are in B)",
Read,MATH_STUDY,Set Operations,Universal Set & Operations,"5. Complement of A (A'): Complement means 'Everything outside of A'. Cover circle A with your hand. What is left in the Universal box?A' = { 5, 6, 7, 8 }",
Read,MATH_STUDY,Set Relationships,Comparing Sets,Comparing Sets: We can compare Sets to see how they relate. Are they the same? Do they share members?,
Read,MATH_STUDY,Set Relationships,Comparing Sets,"1. Equal Sets (=): Sets are Equal if they have exactly the same members.A = {1, 2, 3}B = {3, 1, 2}Even if the order is different, they are the same set!",
Read,MATH_STUDY,Set Relationships,Comparing Sets,2. Equivalent Sets (↔): Sets are Equivalent if they have the same number of members (same cardinality).n(A) = 3 and n(B) = 3.They don't need to have the same items.,
Read,MATH_STUDY,Set Relationships,Comparing Sets,3. Disjoint Sets: Disjoint Sets have nothing in common. Their intersection is empty (Ø).Example: Cats and Dogs. No animal is both!,
Read,MATH_STUDY,Set Relationships,Comparing Sets,Review: Equal: Same members inside.Equivalent: Same amount (count).Disjoint: No overlap.,
Read,MATH_STUDY,Sets & Regions,Understanding Sets,"What is a Set?: A set is simply a collection of well-defined objects. In Uganda, we often use sets to group things like fruits, numbers, or even countries!",
Read,MATH_STUDY,Sets & Regions,Understanding Sets,Intersection (∩): The Intersection is the region where two sets overlap. It contains items that belong to BOTH groups.,
Read,MATH_STUDY,Sets & Regions,Understanding Sets,"Union (∪): The Union combines everything! It includes all elements in Set A, Set B, and the intersection.",
Read,MATH_STUDY,Sets & Regions,Understanding Sets,"Difference of Sets: If we say 'A only' or (A - B), we want elements that are strictly inside A and NOT in B.",
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-001: Venn Subsets,How many subsets are in set (P - Q)?,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-001: Venn Subsets,Find the number of subsets in set Q.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-001: Venn Subsets,How many subsets from members in Q but not P?,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-005: Factors of 4,Step 1: Count the Factors of 4.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-005: Factors of 4,Step 2: Find the number of Subsets.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-006: Word Sets,Step 1: Find n(M) for the word 'MATH'.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-006: Word Sets,Step 2: Calculate total Subsets.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-007: Prime Numbers,Step 1: How many Primes are less than 10?,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-007: Prime Numbers,Step 2: Calculate Subsets.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-008: High Powers,Step 1: Find n(F) (Fingers on a hand).,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-008: High Powers,Step 2: Calculate total Subsets.,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-009: Weekend,Step 1: Find n(Weekend Days).,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-009: Weekend,Step 2: Calculate total Subsets.,
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-010: School Bag,"Pack the Bag! Find all 8 subsets of {Book, Pen, Apple}.",
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-011: Factors of 6,Step 1: Find n(F6). (Count the factors).,
Visual Question,SET_THEORY,Calculating Subsets,Quest 3-011: Factors of 6,Step 2: Calculate total Subsets.,
Visual Question,SET_THEORY,Powers of 2,Quest 3-012: Vowels Set,Find n(V).,
Visual Question,SET_THEORY,Powers of 2,Quest 3-012: Vowels Set,Calculate total subsets (2ⁿ).,
Visual Question,SET_THEORY,Reverse Calculation,Quest 3-013: Big Sets,Set K has 64 Subsets. Find n(K).,
Visual Question,SET_THEORY,Reverse Calculation,Quest 3-013: Big Sets,"If a set has 128 Subsets, find n.",
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,What is a Subset?: Set A is a Subset of Set B if ALL members of A are also inside B.Think of it like a smaller box sitting inside a bigger box.,
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,The Notation (⊂): We use the symbol ⊂ to mean 'is a subset of'.A ⊂ BThis is read as: Set A is a subset of Set B.,
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,"The Empty Set (Ø): Before we count subsets, we must meet the Empty Set.This is a set with NO members. It is empty! We write it as {} or Ø.",
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,The Golden Rule: Important Rule: The Empty Set is a subset of EVERY set.Why? Because 'nothing' can fit inside anything!Ø ⊂ A,
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,"Calculating Subsets: To find the total number of subsets, use the formula:Subsets = 2ⁿWhere n is the number of elements in the set.",
Read,MATH_STUDY,Subsets,Subsets & The Empty Set,"Let's Verify!: If Set V = { a, b }, then n = 2.2² = 4 Subsets.Let's list them:1. {a, b} (The set itself)2. {a}3. {b}4. { } (The Empty Set!)",
Visual Question,SET_THEORY,Proper Subsets,Quest 4: Proper Subsets,How many Proper Subsets are in X ∩ Y?,
Visual Question,SET_THEORY,Proper Subsets,Quest 4: Proper Subsets,Find number of proper subsets in (X only).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4: Proper Subsets,A set has 31 Proper Subsets. Find the number of elements (n).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-002: Vowels,Step 1: Find n(V). (Count the vowels),
Visual Question,SET_THEORY,Proper Subsets,Quest 4-002: Vowels,Step 2: Calculate total Subsets (2ⁿ).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-002: Vowels,Step 3: Calculate Proper Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-003: Colors,Step 1: Find n(C).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-003: Colors,Step 2: Total Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-003: Colors,Step 3: Proper Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-004: Even Numbers,Step 1: Find n(E).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-004: Even Numbers,Step 2: Total Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-004: Even Numbers,Step 3: Proper Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-005: Single Set,Step 1: Find n(S).,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-005: Single Set,Step 2: Total Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-005: Single Set,Step 3: Proper Subsets.,
Visual Question,PIZZA_GAME,Proper Subsets,Quest 4-006: The Giant Pizza,Master Chef Level: Create a menu with exactly 31 Proper Subsets.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-007: Prime Proper,Step 1: Find n(P) for Primes less than 10.,
Visual Question,SET_THEORY,Proper Subsets,Quest 4-007: Prime Proper,Step 2: Calculate Proper Subsets.,
Visual Question,SET_THEORY,Word Problems,Quest 4-008: Word Proper,Step 1: Find n(W) for the word 'EAT'.,
Visual Question,SET_THEORY,Word Problems,Quest 4-008: Word Proper,Step 2: Calculate Proper Subsets.,
Visual Question,SET_THEORY,Concepts,Quest 4-010: Concept Check,"Total Subsets of {1, 2}?",
Visual Question,SET_THEORY,Concepts,Quest 4-010: Concept Check,Total Proper Subsets?,
Visual Question,SET_THEORY,Concepts,Quest 4-010: Concept Check,Which subset is removed to make them 'Proper'?,The Set Itself
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,What is a Proper Subset?: We learned that a subset is a part of a larger set.A Proper Subset is a subset that is strictly smaller than the original set. It cannot be equal to the original set.,
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,"The 'Improper' Subset: Did you know? Every set is a subset of itself!If Set A = {1, 2}, then {1, 2} is a subset of A. But it is NOT a Proper Subset. We call it an Improper Subset.",
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,"The Logic: For a subset to be Proper, there must be at least one member left over in the main set.Look at the diagram: Set B has members '3' and '4' that are NOT in A.",
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,"The Formula: To calculate the number of Proper Subsets, we take the total subsets and subtract 1 (the improper one).Proper Subsets = 2ⁿ - 1",
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,"Example Calculation: Let's try Set P = { a, b }.n = 2.Total Subsets = 2² = 4.Proper Subsets = 4 - 1 = 3.",
Read,MATH_STUDY,Proper Subsets,Proper vs Improper Subsets,"Listing Them: For Set {a, b}:Proper: {a}, {b}, { }Improper: {a, b} (We throw this one away!)",
Visual Question,BINARY_GENERATOR,Working Backwards,Quest 5: Power Plant,Target Output: 16 Subsets. How many cells (n) are needed?,
Visual Question,PIZZA_GAME,Proper Subsets,Quest 5: The Pizza Chef,Intern Level: Make a menu with 3 Proper Subsets.,
Visual Question,PIZZA_GAME,Proper Subsets,Quest 5: The Pizza Chef,Sous Chef: Make a menu with 7 Proper Subsets.,
Visual Question,PIZZA_GAME,Proper Subsets,Quest 5: The Pizza Chef,Head Chef: Make a menu with 15 Proper Subsets.,
Visual Question,PIZZA_GAME,Proper Subsets,Quest 5: The Pizza Chef,Master Chef: The ultimate order! 31 Proper Subsets.,
Visual Question,SET_THEORY,Working Backwards,Quest 5-009: Reverse 63,Set K has 63 Proper Subsets. Find n(K).,
Visual Question,SET_THEORY,Indices,Quest 5-007: Indices Quiz,Solve for n: 2ⁿ = 32,5
Visual Question,SET_THEORY,Indices,Quest 5-007: Indices Quiz,Solve for x: 2ˣ - 1 = 15,4
Visual Question,SUBSET_GAME,Reverse Construction,Quest 5-006: Build to Target,Pack enough items to create exactly 8 Subsets.,
Visual Question,SET_THEORY,Comparison,Quest 5-005: Compare Sets,Set A has 16 Subsets. Find n(A).,
Visual Question,SET_THEORY,Comparison,Quest 5-005: Compare Sets,Set B has 3 Proper Subsets. Find n(B).,
Visual Question,SET_THEORY,Comparison,Quest 5-005: Compare Sets,Calculate n(A) + n(B).,
Visual Question,SET_THEORY,Concept Logic,Quest 5-004: Fact Check,Can a set have exactly 100 Subsets?,no
Visual Question,SET_THEORY,Concept Logic,Quest 5-004: Fact Check,Can a set have 7 Proper Subsets?,yes
Visual Question,SET_THEORY,Large Numbers,Quest 5-003: Library Logic,A shelf has 128 arrangements (Subsets). How many books (n)?,
Visual Question,SET_THEORY,Large Numbers,Quest 5-003: Library Logic,Another shelf has 63 Proper Subsets. Find n.,
Visual Question,BINARY_GENERATOR,Proper Subsets,Quest 5-002: Power Plant II,Target: 31 Proper Subsets.Hint: Generator calculates Total (2ⁿ). Set it to 32 to get 31 Proper.,
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,"The Mystery: Usually, we count elements to find the number of subsets.But what if we know the Number of Subsets (e.g., 8 subsets) and need to find how many members are in the set?",
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,The Pattern (Powers of 2): Remember the powers of 2. This is our key:2¹ = 2 subsets (1 member)2² = 4 subsets (2 members)2³ = 8 subsets (3 members)2⁴ = 16 subsets (4 members)2⁵ = 32 subsets (5 members),
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,Case 1: From Total Subsets: Question: A set has 8 subsets. Find n(A).Step 1: Write the formula.2ⁿ = 8Step 2: Factorize 8 by 2.8 = 2 × 2 × 2 (That is 2³)Step 3: Compare powers.2ⁿ = 2³n(A) = 3.,
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,Case 2: From Proper Subsets: Question: Set M has 15 Proper Subsets. Find n(M).Step 1: Proper subsets are missing 1 (the improper one). So we must ADD 1 back.Total Subsets = 15 + 1 = 16.,
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,"Solving Case 2: Now we solve for 16 Subsets.2ⁿ = 162 × 2 × 2 × 2 = 16Count the twos: There are 4.So, 2ⁿ = 2⁴.n(M) = 4.",
Read,MATH_STUDY,Finding Number of Elements,Working Backwards,A Harder Example: Question: Set K has 63 Proper Subsets.1. Add 1: 63 + 1 = 64 Total Subsets.2. Factorize 64:2 × 2 × 2 × 2 × 2 × 2 = 64(Count them... there are 6!)Answer: n(K) = 6.,
Visual Question,SET_THEORY,Placing Information,Quest 6-001: Map the Venn,Drag numbers to the correct region.M (Multiples of 3) & O (Odds),
Visual Question,SET_THEORY,Placing Information,Quest 6-001: Map the Venn,List elements of M ∩ O.,
Visual Question,SET_THEORY,Placing Information,Quest 6-001: Map the Venn,List elements of M only.,
Visual Question,SET_THEORY,Logic,Quest 6-010: Shape Logic,Sort the shapes.,
Visual Question,SET_THEORY,Integers,Quest 6-009: Integers,"Sort integers: -3, -1, 0, 1, 3",
Visual Question,SET_THEORY,Classification,Quest 6-008: Food Sort,"Sort: Apple (Red Fruit), Banana (Yellow Fruit), Tomato (Red Veg).",
Visual Question,SET_THEORY,Disjoint Sets,Quest 6-007: Even vs Odd,Sort the numbers.,
Visual Question,SET_THEORY,Disjoint Sets,Quest 6-007: Even vs Odd,Find n(Even ∩ Odd).,
Visual Question,SET_THEORY,Subsets,Quest 6-006: Factors Subset,"A={1,2,4}, B={1,2,4,8}. Sort them.",
Visual Question,SET_THEORY,Subsets,Quest 6-006: Factors Subset,Is Set A a Proper Subset of Set B?,yes
Visual Question,SET_THEORY,Universal Set,Quest 6-005: Universal Box,"Universal Set = {1, 2, 3, 4, 5}. Sort them.",
Visual Question,SET_THEORY,Universal Set,Quest 6-005: Universal Box,Find n(A ∪ B)' (Complement).,
Visual Question,SET_THEORY,Multiples,Quest 6-004: LCM Finder,Sort Multiples of 3 and 4 (less than 15).,
Visual Question,SET_THEORY,Multiples,Quest 6-004: LCM Finder,Identify the LCM (Lowest Common Multiple).,
Visual Question,SET_THEORY,Intersections,Quest 6-003: Word Sets,Set A = {Letters in PEAR}. Set B = {Letters in REAP}.Sort the letters.,
Visual Question,SET_THEORY,Intersections,Quest 6-003: Word Sets,Are the sets Equivalent?,yes
Visual Question,SET_THEORY,Number Properties,Quest 6-002: Primes & Odds,Sort numbers P (Primes) & O (Odds),
Visual Question,SET_THEORY,Number Properties,Quest 6-002: Primes & Odds,How many numbers are Even Primes?,
Visual Question,SET_THEORY,Factors,Quest 6-001: Factors of 12 & 18,Drag factors to the correct region.F12 & F18,
Visual Question,SET_THEORY,Factors,Quest 6-001: Factors of 12 & 18,List the GCF (Highest Common Factor).,
Visual Question,SET_THEORY,Word Problems,Quest 6-012: Word Sets,Sort the unique letters of MANGO and APPLE.,
Visual Question,SET_THEORY,Word Problems,Quest 6-012: Word Sets,Probability of picking a letter shared by BOTH words?,
Visual Question,SET_THEORY,Inequalities,Quest 6-011: Logic Ranges,A={x : 2 A ∩ B.,
Visual Question,SET_THEORY,Visual Intersection,Quest 6-015: Visual Intersect,Place 'Both' in the intersection.,
Visual Question,SET_THEORY,Region Notation,Quest 6-016: Region Decoder,Which notation describes the shaded region?,(X ∪ Y)'
Visual Question,SET_THEORY,Region Shading,Quest 6-017: Identify Overlap,Which notation represents the shaded region?,A ∩ B
Visual Question,SET_THEORY,Set Difference,Quest 6-018: Identify Difference,Identify the shaded region.,P - Q
Visual Question,SET_THEORY,Symmetric Difference,Quest 6-019: Only One,What does the shaded region represent?,Only X or Only Y
Visual Question,SET_THEORY,Factors,Quest 6-020: Factors 12 & 18,"Sort the factors.F12 = {1,2,3,4,6,12}F18 = {1,2,3,6,9,18}",
Visual Question,SET_THEORY,Factors,Quest 6-020: Factors 12 & 18,List the Common Factors.,
Visual Question,SET_THEORY,Attribute Sorting,Quest 6-022: Shape Sorter,"Sort the shapes.A = Red Objects, B = Circles",
Visual Question,SET_THEORY,Attribute Sorting,Quest 6-022: Shape Sorter,How many items are Red Circles?,
Visual Question,SET_THEORY,Shading Regions,Quest 6-023: Region Painter,Tap regions to shade X ' (Complement of X).,
Visual Question,SET_THEORY,Shading Regions,Quest 6-023: Region Painter,Tap to shade X ∩ Y.,
Visual Question,SET_THEORY,Shading Regions,Quest 6-023: Region Painter,Tap to shade (X ∪ Y) - (X ∩ Y).,
Visual Question,SET_THEORY,Shading Sets,Quest 6-024: Shade Union,Tap to shade P ∪ Q (Union).,
Visual Question,SET_THEORY,Shading Complements,Quest 6-026: Shade Neither,Tap to shade (M ∪ N)'.,
Visual Question,SET_THEORY,Shading Differences,Quest 6-027: Only One,Tap regions representing elements in Exactly One Set.,
Visual Question,VENN_SPOTLIGHT,Shading Regions,Quest 6b: The Spotlight,,
Visual Question,VENN_SPOTLIGHT,Shading Regions,Quest 6b: The Spotlight,,
Visual Question,VENN_SPOTLIGHT,Shading Regions,Quest 6b: The Spotlight,,
Visual Question,VENN_SPOTLIGHT,Shading Regions,Quest 6b: The Spotlight,,
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,The Sorting Game: Filling a Venn Diagram is just like sorting objects into baskets.Let's sort shapes based on two rules:Set A: Must be RED.Set B: Must be a CIRCLE.,
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,"Rule 1: The Middle First!: Pro Tip: Always fill the Intersection first!Ask: ""Is there anything that is BOTH Red AND a Circle?""Yes! The Red Circle (🔴) goes in the center.",
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,"Rule 2: Fill the Sides: Now, place the rest:1. Red Square (🟥): It is Red, but NOT a circle. It goes to the Left (Red Only).2. Blue Circle (🔵): It is a Circle, but NOT red. It goes to the Right (Circle Only).",
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,"Rule 3: The Outsiders: What about a Blue Square (🟦)?It is NOT red. It is NOT a circle.It gets kicked outside the rings, but stays inside the box (Universal Set).",
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,"Applying to Numbers: Now let's try Math!Set A = Factors of 6: {1, 2, 3, 6}Set B = Factors of 9: {1, 3, 9}Step 1: Find the Middle (Common members).Both have 1 and 3.",
Read,MATH_STUDY,Venn Diagrams,Placing Info Correctly,"Calculating 'Only': Step 2: Fill the rest.Set A (Left): We used {1,3}. Remaining: {2, 6}.Set B (Right): We used {1,3}. Remaining: {9}.Notice: We don't write {1,3} again!",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"The 3-Step Strategy: To solve any Venn Diagram problem correctly, follow these three steps:1. List the members (if hidden).2. Fill the Intersection first.3. Subtract to find the 'Only' regions.",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"Step 1: Decoding the List: Sometimes sets are hidden in algebra!Set A = { x : 2 This means 'integers between 2 and 6'.List: { 3, 4, 5 }",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"Step 2: Finding the Intersection: Let's compare two sets:A = { 3, 4, 5 }B = { 4, 5, 6 }What is in BOTH? { 4, 5 }.We place these in the middle immediately.",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"Step 3: Calculating 'Only': Set A has {3, 4, 5}. But {4, 5} are already in the middle!So, A Only gets the remaining member: 3.Similarly, B Only gets 6.",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"Strategy: Working with Counts: Sometimes exam questions give you Totals instead of lists.""n(P) = 20. Intersection = 5. Find n(P Only).""Rule: Whole Circle - Middle = Only.20 - 5 = 15.",
Read,MATH_STUDY,Venn Strategy,Solving & Placing Info,"Strategy: The Universal Set: Question: ""Total pupils = 40. Union = 35. Find the Complement.""'Complement means the Outside region.Total - Union = Outside.40 - 35 = 5.",
