qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00013,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,How does a hydrostatic skeleton help an animal move?,By using wings,Using liquid flowing in a thin membrane,Using hard bony plates,Using iron in the blood,Option_B,It involves liquid under pressure.,Animals like worms have a thin membrane in which the liquid flows to allow movement.,,"[""P7"",""Science"",""Hydrostatic""]",,,,
SCI-P7-T1-00014,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Arthropods like crabs and spiders belong to which skeleton category?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_B,They have a hard 'shell' on their limbs.,Crustaceans (crabs) and Arachnids (spiders) all have skeletons on the outside.,,"[""P7"",""Science"",""Arthropods""]",,,,
SCI-P7-T1-00015,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,"Man, Goats, and Lions all share which type of skeleton?",Exo-skeleton,Hydrostatic skeleton,Endo-skeleton,Chitin skeleton,Option_C,We have our bones on the inside.,These are all mammals/vertebrates with internal bony frameworks.,,"[""P7"",""Science"",""Endoskeleton""]",,,,
SCI-P7-T1-00016,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,A skeleton provides a surface for the attachment of what?,Skin,Muscles,Nerves,Hair,Option_B,This attachment allows for movement.,"The skeleton provides a surface area for muscles to attach, which pulls on bones to move.",,"[""P7"",""Science"",""Muscles""]",,,,
SCI-P7-T1-00017,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,How does growth in endo-skeleton animals differ from exo-skeleton animals?,Endo-skeletons grow continuously,Endo-skeletons grow by ecdysis,Exo-skeletons grow continuously,Endo-skeletons never grow,Option_A,We don't need to shed our bones to get taller.,"Vertebrates grow by a continuous increase in size, unlike insects who grow in steps via ecdysis.",,"[""P7"",""Science"",""Growth""]",,,,
SCI-P7-T1-00018,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Identify a common example of an animal that undergoes ecdysis.,Man,Grasshopper,Earthworm,Fish,Option_B,Look for an insect.,Grasshoppers periodically shed their outer layer to form a new cuticle.,,"[""P7"",""Science"",""Moulting""]",,,,
SCI-P7-T1-00019,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which aquatic animals possess a hydrostatic skeleton?,Sharks and Whales,Jellyfish and Starfish,Tilapia and Nile Perch,Crocodiles,Option_B,"These animals have very soft, watery bodies.",Jellyfish and Starfish rely on fluid pressure rather than bones for their shape.,,"[""P7"",""Science"",""Hydrostatic""]",,,,
SCI-P7-T1-00020,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which skeleton type is most vulnerable to drying out or physical injury if the membrane breaks?,Exo-skeleton,Endo-skeleton,Hydrostatic skeleton,Bony skeleton,Option_C,These animals depend entirely on internal liquid pressure.,"If the membrane of a hydrostatic animal is pierced, it loses the liquid pressure needed for support.",,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00021,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,What is a major limitation of an exo-skeleton?,It makes the animal too fast,It limits the maximum size of the animal,It is too soft,It produces too much blood,Option_B,Think about why there aren't insects as big as elephants.,The weight and rigidity of an exo-skeleton prevent insects from growing to very large sizes.,,"[""P7"",""Science"",""Exoskeleton""]",,,,
SCI-P7-T1-00022,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,"In humans, the skeleton protects delicate organs. What does the skull protect?",Heart,Lungs,Brain,Spinal Cord,Option_C,It is the bony box of the head.,The skull (cranium) is specifically designed to protect the brain.,,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00023,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Caterpillars and Maggots move using which type of support?,Hydrostatic skeleton,Exo-skeleton,Endo-skeleton,No system,Option_A,They are soft-bodied larvae.,Larval forms like caterpillars use liquid under pressure to crawl.,,"[""P7"",""Science"",""Caterpillar""]",,,,
SCI-P7-T1-00024,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,Which mineral salts are the main components of a bony endo-skeleton?,Sodium and Potassium,Calcium and Phosphorus,Iron and Iodine,Zinc and Copper,Option_B,These make bones strong and hard.,Bones are hard connective tissues made primarily of calcium and phosphorus.,,"[""P7"",""Science"",""Bones""]",,,,
SCI-P7-T1-00025,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,"Besides support, what is the primary role of an insect's exo-skeleton?",To help it sleep,Protection of internal organs,To make food,To store water,Option_B,It acts like a suit of armor.,The hard material on the outside protects the soft internal parts of the insect.,,"[""P7"",""Science"",""Exoskeleton""]",,,,
SCI-P7-T1-00026,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,What are the internal frameworks of vertebrates like birds and fish called?,Chitin,Liquid,Endo-skeletons,Shells,Option_C,'Endo' means inside.,All vertebrates have bony or cartilaginous skeletons found inside the flesh.,,"[""P7"",""Science"",""Vertebrates""]",,,,
SCI-P7-T1-00027,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which of these functions is NOT performed by a hydrostatic skeleton?,Movement,Giving shape,Manufacture of blood cells,Support,Option_C,This function requires bone marrow.,Only endo-skeletons (bones) have marrow to produce blood cells.,,"[""P7"",""Science"",""Hydrostatic""]",,,,
SCI-P7-T1-00028,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,A tortoise has a shell (exo-skeleton) but is also a vertebrate. What else does it have?,An endo-skeleton,No lungs,No heart,No skin,Option_A,Vertebrates always have internal bones.,Tortoises are unique because they have both a protective shell and an internal bony skeleton.,,"[""P7"",""Science"",""Tortoise""]",,,,
SCI-P7-T1-00029,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Millipedes and Centipedes are examples of which group with exo-skeletons?,Arachnids,Crustaceans,Myriapods,Insects,Option_C,They have many legs.,"Myriapods include centipedes and millipedes, all of which have external skeletons.",,"[""P7"",""Science"",""Myriapods""]",,,,
SCI-P7-T1-00030,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,The skeleton of a developing baby is initially made of which soft tissue?,Hard bone,Cartilage,Muscle,Skin,Option_B,It is a flexible connective tissue.,Babies are born with many cartilages which later fuse and harden into bones.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00031,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,Which group of fish has a skeleton made of cartilage instead of hard bone?,Tilapia,Sharks,Nile Perch,Lung fish,Option_B,They are known for being very flexible predators.,Cartilaginous fish like sharks and rays have skeletons made entirely of cartilage.,,"[""P7"",""Science"",""Sharks""]",,,,
SCI-P7-T1-00032,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Where are white blood cells primarily manufactured in a long bone?,Hard bone,Yellow bone marrow,Spongy bone,Cartilage,Option_B,This marrow is found in the central cavities.,Yellow bone marrow in the center of long bones produces white blood cells.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00033,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which part of the skeleton protects the heart and lungs?,Skull,Vertebral column,Rib cage,Pelvis,Option_C,It is a cage of 12 pairs of bones.,The rib cage encases and protects the vital organs in the chest area.,,"[""P7"",""Science"",""Ribcage""]",,,,
SCI-P7-T1-00034,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Octopus and Squids are examples of which type of skeleton?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_C,They are soft-bodied molluscs without shells.,Molluscs without shells like octopuses rely on liquid under pressure.,,"[""P7"",""Science"",""Molluscs""]",,,,
SCI-P7-T1-00035,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,What does the vertebral column protect?,Brain,Spinal cord,Heart,Eyes,Option_B,It is the backbone.,The vertebral column (spine) protects the delicate spinal cord.,,"[""P7"",""Science"",""Spine""]",,,,
SCI-P7-T1-00036,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,The process of cartilage turning into hard bone as a baby grows is called?,Ecdysis,Ossification,Digestion,Circulation,Option_B,Think of the word 'osseous' which means bone.,Ossification is the process where cartilaginous tissues turn into hard bones.,,"[""P7"",""Science"",""Ossification""]",,,,
SCI-P7-T1-00037,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,Which of these are examples of Arachnids with exo-skeletons?,Spiders and Scorpions,Bees and Wasps,Crabs and Prawns,Ticks and Snails,Option_A,These usually have 8 legs.,"Arachnids like spiders, scorpions, mites, and ticks all have exo-skeletons.",,"[""P7"",""Science"",""Arachnids""]",,,,
SCI-P7-T1-00038,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,What makes bones a 'living' tissue?,They can move by themselves,They have a blood supply and nerves,They are made of water,They don't need food,Option_B,They are not just dead sticks.,"Bones contain living cells, blood vessels, and nerves that require nutrients.",,"[""P7"",""Science"",""Bones""]",,,,
SCI-P7-T1-00039,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Which skeleton type allows for the most continuous and unhindered growth?,Exo-skeleton,Hydrostatic skeleton,Endo-skeleton,All the same,Option_C,Internal bones grow along with the rest of the body.,Endo-skeletons allow for steady growth without the need to shed outer layers.,,"[""P7"",""Science"",""Growth""]",,,,
SCI-P7-T1-00040,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Sea urchins and Starfish belong to which group with hydrostatic skeletons?,Molluscs,Echinoderms,Arthropods,Vertebrates,Option_B,These are spiny-skinned sea animals.,Echinoderms like sea urchins and starfish use fluid pressure systems for support.,,"[""P7"",""Science"",""Echinoderms""]",,,,
SCI-P7-T1-00041,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,How many bones does a normal adult human skeleton have?,300 bones,206 bones,150 bones,33 bones,Option_B,This number is less than what a baby has.,A human adult skeleton consists of exactly 206 bones in total.,,"[""P7"",""Science"",""Human Skeleton""]",,,,
SCI-P7-T1-00042,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Approximately how many bones does a newborn baby have?,206 bones,100 bones,300 to 305 bones,500 bones,Option_C,Babies have more bones because many haven't fused yet.,Babies are born with about 300-305 cartilaginous tissues that later fuse into 206 bones.,,"[""P7"",""Science"",""Babies""]",,,,
SCI-P7-T1-00043,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Into how many main regions is the human skeleton subdivided?,Two,Three,Four,Five,Option_A,Think of the central axis and the limbs attached to it.,The human skeleton is divided into the Axial skeleton and the Appendicular skeleton.,,"[""P7"",""Science"",""Divisions""]",,,,
SCI-P7-T1-00044,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which part of the skeleton forms the central axis of the body?,Appendicular skeleton,Axial skeleton,Limb girdles,The limbs,Option_B,This part includes the skull and backbone.,"The axial skeleton consists of the skull, vertebral column, ribs, and sternum.",,"[""P7"",""Science"",""Axial""]",,,,
SCI-P7-T1-00045,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What is the name of the skeleton part that includes the arms and legs?,Axial skeleton,Appendicular skeleton,Cranium,Vertebral column,Option_B,This part is 'appended' to the central axis.,The appendicular skeleton includes the limbs (arms and legs) and the girdles.,,"[""P7"",""Science"",""Appendicular""]",,,,
SCI-P7-T1-00046,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which bone protects the human brain?,Rib cage,Skull,Vertebral column,Pelvis,Option_B,It is located in the head.,The skull (specifically the cranium) protects the brain from injury.,,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00047,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What is the specific part of the skull that encases the brain?,Mandible,Cranium,Jaw bone,Maxilla,Option_B,It is the rounded top part of the head.,The cranium is the part of the skull that specifically protects the brain.,,"[""P7"",""Science"",""Cranium""]",,,,
SCI-P7-T1-00048,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which delicate organ is protected by the vertebral column?,Heart,Lungs,Spinal cord,Brain,Option_C,It is the bundle of nerves running down your back.,The vertebral column (backbone) protects the spinal cord.,,"[""P7"",""Science"",""Backbone""]",,,,
SCI-P7-T1-00049,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,The rib cage is designed to protect which two vital organs?,Brain and Eyes,Stomach and Liver,Heart and Lungs,Bladder and Kidneys,Option_C,These organs are inside your chest.,The rib cage protects the heart and the lungs.,,"[""P7"",""Science"",""Ribcage""]",,,,
SCI-P7-T1-00050,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What does the pelvic girdle (pelvis) protect in a woman?,Heart,Lungs,Uterus and Bladder,Brain,Option_C,It protects organs in the lower abdomen.,"The pelvis protects the urinary bladder and, in women, the uterus.",,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00051,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,How many bones are found specifically in the axial skeleton?,126 bones,206 bones,80 bones,33 bones,Option_C,It is the smaller of the two main divisions.,The axial skeleton consists of 80 bones that protect vital organs.,,"[""P7"",""Science"",""Axial""]",,,,
SCI-P7-T1-00052,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,How many bones make up the appendicular skeleton?,80 bones,126 bones,206 bones,60 bones,Option_B,It includes all the bones of the limbs and girdles.,The appendicular skeleton has 126 bones.,,"[""P7"",""Science"",""Appendicular""]",,,,
SCI-P7-T1-00053,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which of these is another name for the vertebral column?,Skull,Backbone,Breast bone,Shoulder blade,Option_B,It runs down the center of your back.,The vertebral column is commonly known as the backbone or spine.,,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00054,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What is the scientific name for the breastbone?,Clavicle,Scapula,Sternum,Femur,Option_C,It is the flat bone in the middle of your chest.,The sternum is the bone where the ribs meet at the front of the chest.,,"[""P7"",""Science"",""Sternum""]",,,,
SCI-P7-T1-00055,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which bones protect the eyes?,Cranium,Eye sockets (orbits),Ribs,Pelvis,Option_B,Look for the holes in the skull.,The eye sockets or orbits protect the eyes.,,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00056,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which function of the skeleton ensures humans can stand upright?,Making blood,Protection,Support,Mineral storage,Option_C,It acts like the pillars of a house.,The skeleton provides support to the soft parts of our body and holds us up.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00057,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,What allows the human skeleton to facilitate movement?,Bones alone,Muscles attached to joints,Skin,Fat cells,Option_B,Bones move when things pull on them.,The skeleton allows movement because muscles are attached to bones at joints.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00058,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which bone is known as the collar bone?,Scapula,Clavicle,Humerus,Sternum,Option_B,It is the thin bone between your neck and shoulder.,The clavicle is the scientific name for the collar bone.,,"[""P7"",""Science"",""Clavicle""]",,,,
SCI-P7-T1-00059,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,What is the common name for the scapula?,Knee cap,Shoulder blade,Shin bone,Thigh bone,Option_B,"It is the flat, triangular bone on your back.",The scapula is the shoulder blade.,,"[""P7"",""Science"",""Scapula""]",,,,
SCI-P7-T1-00060,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which long bone is located in the upper arm?,Femur,Humerus,Radius,Tibia,Option_B,It rhymes with 'humorous'.,The humerus is the single long bone of the upper arm.,,"[""P7"",""Science"",""Humerus""]",,,,
SCI-P7-T1-00061,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Identify the two bones of the lower arm (forearm).,Femur and Tibia,Radius and Ulna,Humerus and Scapula,Fibula and Patella,Option_B,"One is on the thumb side, one is on the pinky side.",The forearm consists of the radius and the ulna.,,"[""P7"",""Science"",""Forearm""]",,,,
SCI-P7-T1-00062,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,What is the longest and strongest bone in the human body?,Humerus,Spine,Femur,Tibia,Option_C,It is your thigh bone.,The femur is the thigh bone and is the longest bone in the body.,,"[""P7"",""Science"",""Femur""]",,,,
SCI-P7-T1-00063,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which two bones are found in the lower leg?,Radius and Ulna,Tibia and Fibula,Femur and Humerus,Clavicle and Sternum,Option_B,"One is the 'shin' bone, the other is thinner.",The lower leg consists of the tibia (shin bone) and the fibula.,,"[""P7"",""Science"",""Leg""]",,,,
SCI-P7-T1-00064,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,What is the scientific name for the knee cap?,Patella,Tarsal,Carpal,Phalange,Option_A,It protects the front of the knee joint.,The patella is the bone commonly known as the knee cap.,,"[""P7"",""Science"",""Patella""]",,,,
SCI-P7-T1-00065,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,Where are blood cells produced in the human skeleton?,Inside the joints,In the bone marrow,On the bone surface,In the cartilage,Option_B,It is the soft tissue inside the center of bones.,The skeleton contributes to blood cell formation in the bone marrow.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00066,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which mineral salts make human bones strong and hard?,Sodium and Iron,Calcium and Phosphorus,Iodine and Zinc,Potassium and Magnesium,Option_B,Milk is a good source of these.,Bones act as storage for minerals like calcium and phosphorus.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00067,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,Why are babies' bones mostly made of cartilage at birth?,To make them heavy,To allow for easier birth and growth,To help them swim,To prevent them from moving,Option_B,Cartilage is softer and more flexible than bone.,Babies are born with many cartilages so their bodies can grow and change easily.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00068,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,What is the process called when cartilage turns into bone?,Moulting,Ossification,Digestion,Respiration,Option_B,It starts with 'O'.,Ossification is the process where cartilaginous tissues turn into hard bones.,,"[""P7"",""Science"",""Ossification""]",,,,
SCI-P7-T1-00069,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,How many pairs of ribs make up the human rib cage?,10 pairs,12 pairs,24 pairs,6 pairs,Option_B,"Total ribs is 24, but they come in pairs.",The human rib cage is made up of 12 pairs (24 total) of ribs.,,"[""P7"",""Science"",""Ribs""]",,,,
SCI-P7-T1-00070,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which bone forms the foundation for the attachment of the appendicular skeleton?,Femur,Skull,Axial skeleton,Patella,Option_C,It is the main central part of the body.,The axial skeleton forms the foundation for the attachment of the appendicular skeleton.,,"[""P7"",""Science"",""Axial""]",,,,
SCI-P7-T1-00071,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What are the small bones that make up the backbone called?,Vertebrae,Carpals,Tarsals,Phalanges,Option_A,There are 33 of these at birth.,The backbone is made of 33 bones called vertebrae.,,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00072,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,Which part of the skeleton gives the body its overall shape?,Muscles,Skin,Skeleton,Fat,Option_C,"Without it, we would be a 'heap on the floor'.",The skeleton gives shape to the body of animals and humans.,,"[""P7"",""Science"",""Shape""]",,,,
SCI-P7-T1-00073,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Where do you find carpals in the human body?,In the ankle,In the neck,In the wrist,In the chest,Option_C,Think of 'carpal tunnel'.,Carpals are the short bones found in the wrist.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00074,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,What is the name for the ankle bones?,Carpals,Tarsals,Metacarpals,Metatarsals,Option_B,They rhyme with carpals but are in the foot.,Tarsals are the bones located in the ankle.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00075,T1,Musculo-Skeletal System,human_skeleton,E,MCQ,null,null,What is the common name for the bones of the fingers and toes?,Phalanges,Vertebrae,Ribs,Femurs,Option_A,It's a long word starting with 'Ph'.,Phalanges are the bones that make up fingers and toes.,,"[""P7"",""Science"",""Phalanges""]",,,,
SCI-P7-T1-00076,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,The upper 7 pairs of ribs are attached directly to the sternum. What are they called?,False ribs,Floating ribs,True ribs,Chest ribs,Option_C,They have a direct connection.,The first 7 pairs of ribs are 'true ribs' because they attach directly to the sternum.,,"[""P7"",""Science"",""Ribs""]",,,,
SCI-P7-T1-00077,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,What connects the ribs to the sternum?,Ligaments,Cartilage,Muscles,Nerves,Option_B,It is a flexible tissue that allows the chest to expand.,Ribs are attached to the sternum by means of cartilages.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00078,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which girdle connects the arms to the axial skeleton?,Pelvic girdle,Pectoral girdle,Vertebral column,Cranium,Option_B,It is the 'shoulder' girdle.,The pectoral (shoulder) girdle consists of the scapula and clavicle.,,"[""P7"",""Science"",""Pectoral""]",,,,
SCI-P7-T1-00079,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which girdle connects the legs to the axial skeleton?,Pectoral girdle,Pelvic girdle,Rib cage,Skull,Option_B,It is the 'hip' girdle.,The pelvic (hip) girdle connects the lower limbs to the spine.,,"[""P7"",""Science"",""Pelvic""]",,,,
SCI-P7-T1-00080,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,Which bone marrow is responsible for producing red blood cells?,Yellow marrow,Red marrow,White marrow,Blue marrow,Option_B,The color matches the type of blood cell.,Red bone marrow produces red blood cells.,,"[""P7"",""Science"",""Blood Cells""]",,,,
SCI-P7-T1-00081,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,The human skeleton is a frame work of?,Skin,Bones,Muscles,Blood,Option_B,It is the hard part of the system.,A skeleton is defined as a framework of bones.,,"[""P7"",""Science"",""Definitions""]",,,,
SCI-P7-T1-00082,T1,Musculo-Skeletal System,human_skeleton,H,MCQ,null,null,What is the function of the eye sockets (orbits)?,To help us see,To protect the eyes,To produce tears,To move the head,Option_B,The bony holes hold the eyes safely.,The eye sockets or orbits protect the eyes from injury.,,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00083,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,Which of these is part of the pectoral girdle?,Femur,Clavicle,Tibia,Patella,Option_B,It is a bone near the shoulder.,The pectoral girdle includes the scapula and the clavicle.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00084,T1,Musculo-Skeletal System,human_skeleton,M,MCQ,null,null,The bones of the palm of the hand are called?,Metatarsals,Metacarpals,Carpals,Phalanges,Option_B,"'Carpal' is wrist, 'Meta' means beyond.",Metacarpals are the five bones that make up the palm of the hand.,,"[""P7"",""Science"",""Hand""]",,,,
